,date,open,high,low,close,flag,EMA1,EMA2,EMA3,EMA4,smalemadifference,longemadifference
644,2024-04-29 15:24:00+05:30,495.15,495.15,495.15,495.15,2,501.5159879841509,501.7644941832058,491.00827600674717,483.02872762274825,-0.24850619905487292,7.979548383998917
645,2024-04-29 15:25:00+05:30,499.0,499.0,499.0,499.0,1,500.25799399207546,500.97463870228984,491.76939257753315,484.05913229224836,-0.716644710214382,7.7102602852847895
646,2024-04-29 15:29:00+05:30,499.0,499.0,499.0,499.0,1,499.6289969960377,500.41045621592133,492.4580218558633,485.02305924113557,-0.7814592198836294,7.434962614727738
647,2024-04-30 09:36:00+05:30,514.1,514.1,514.1,514.1,0,506.86449849801886,504.3217544399438,494.51916263149536,486.8989909029978,2.5427440580750726,7.620171728497553
648,2024-04-30 09:37:00+05:30,514.1,514.1,514.1,514.1,0,510.48224924900944,507.11553888567414,496.38400428563864,488.6538947157077,3.366710363335301,7.73010956993096
649,2024-04-30 09:41:00+05:30,538.85,538.9,534.8,534.8,6,522.6411246245048,515.0253849183387,500.04267054414925,491.63106279856527,7.615739706166096,8.411607745583979
650,2024-04-30 09:48:00+05:30,540.0,540.0,540.0,540.0,4,531.3205623122524,522.1609892273848,503.84813049232554,494.75163939220624,9.159573084867588,9.096491100119295
651,2024-04-30 09:49:00+05:30,557.75,557.75,557.75,557.75,0,544.5352811561262,532.3292780195605,508.9816418740088,498.81604975399944,12.206003136565641,10.165592120009364
652,2024-04-30 09:50:00+05:30,557.75,557.75,557.75,557.75,3,551.142640578063,539.5923414425432,513.6262474098174,502.6182400924511,11.550299135519822,11.00800731736632
653,2024-04-30 09:58:00+05:30,563.0,563.0,563.0,563.0,1,557.0713202890315,546.2802438875309,518.3285095612634,506.51383750584137,10.791076401500618,11.81467205542208
654,2024-04-30 10:00:00+05:30,570.0,570.0,570.0,570.0,1,563.5356601445158,553.0573170625221,523.2496038887622,510.6097189570774,10.478343081993671,12.639884931684776
655,2024-04-30 10:01:00+05:30,570.0,570.0,570.0,570.0,4,566.7678300722579,557.8980836160872,527.702022566023,514.4413499921047,8.869746456170674,13.260672573918214
656,2024-04-30 10:03:00+05:30,570.0,570.0,570.0,570.0,1,568.3839150361289,561.3557740114909,531.7304013692589,518.0257790248722,7.028141024637989,13.704622344386621
657,2024-04-30 10:08:00+05:30,520.1,520.1,520.1,520.1,2,544.2419575180645,549.5684100082078,530.6227440959962,518.159599732945,-5.326452490143311,12.463144363051128
658,2024-04-30 10:09:00+05:30,538.15,538.15,538.15,538.15,1,541.1959787590322,546.3060071487199,531.3396256106632,519.4493029759809,-5.110028389687727,11.89032263468232
659,2024-04-30 10:19:00+05:30,555.85,555.85,555.85,555.85,1,548.522989379516,549.0328622490856,533.6739469810763,521.7977350420467,-0.5098728695695627,11.876211939029531
660,2024-04-30 10:23:00+05:30,552.8,552.8,552.8,552.8,7,550.661494689758,550.1091873207754,535.4954758400214,523.7978811683663,0.5523073689826106,11.69759467165511
661,2024-04-30 11:06:00+05:30,540.35,542.3,540.35,542.3,31,546.480747344879,547.877990943411,536.1435257600193,524.9915662542782,-1.3972435985319862,11.15195950574116
662,2024-04-30 11:10:00+05:30,560.0,560.0,560.0,560.0,4,553.2403736724395,551.3414221024364,538.4155709257318,527.2501748830344,1.8989515700031916,11.165396042697353
663,2024-04-30 11:22:00+05:30,554.0,554.0,554.0,554.0,1,553.6201868362198,552.1010157874546,539.8998022661383,528.975970051871,1.5191710487652017,10.92383221426735
664,2024-04-30 11:24:00+05:30,560.0,560.0,560.0,560.0,4,556.8100934181099,554.3578684196104,541.8141068122204,530.9775203711051,2.452224998499446,10.836586441115287
665,2024-04-30 11:41:00+05:30,560.0,560.0,560.0,560.0,4,558.4050467090549,555.9699060140074,543.546096639628,532.849938411679,2.435140695047494,10.696158227949013
666,2024-04-30 11:42:00+05:30,560.0,560.0,560.0,560.0,4,559.2025233545274,557.1213614385767,545.1131350549015,534.6015552883448,2.0811619159507018,10.511579766556679
667,2024-04-30 11:59:00+05:30,554.0,554.0,554.0,554.0,4,556.6012616772637,556.2295438846977,545.9595031449109,535.8530678503871,0.3717177925659598,10.106435294523749
668,2024-04-30 12:26:00+05:30,559.2,559.2,559.2,559.2,5,557.9006308386319,557.078245631927,547.2205028453956,537.359321537459,0.8223852067048938,9.86118130793659
669,2024-04-30 12:37:00+05:30,565.0,565.0,565.0,565.0,6,561.450315419316,559.341604022805,548.9137882886912,539.1425911156875,2.108711396511012,9.771197173003657
